,Precio,Localidad,Robo_Personas,Homicidios,Promedio
250,1600000000,CHAPINERO,5578,6,1242553621.6074767
251,5080000000,SUBA,7567,43,553298142.682
252,280000000,SUBA,7567,43,553298142.682
253,436000000,USAQUEN,5376,29,738350161.5709343
254,452000000,USAQUEN,5376,29,738350161.5709343
255,480000000,USAQUEN,5376,29,738350161.5709343
256,1980000000,CHAPINERO,5578,6,1242553621.6074767
257,1500000000,USAQUEN,5376,29,738350161.5709343
258,575000000,USAQUEN,5376,29,738350161.5709343
259,456000000,USAQUEN,5376,29,738350161.5709343
260,750000000,USAQUEN,5376,29,738350161.5709343
261,415000000,USAQUEN,5376,29,738350161.5709343
262,2600000000,USAQUEN,5376,29,738350161.5709343
263,730000000,USAQUEN,5376,29,738350161.5709343
264,515000000,USAQUEN,5376,29,738350161.5709343
265,575000000,CHAPINERO,5578,6,1242553621.6074767
266,540769000,SUBA,7567,43,553298142.682
267,950000000,CHAPINERO,5578,6,1242553621.6074767
268,425000000,SUBA,7567,43,553298142.682
269,670000000,SUBA,7567,43,553298142.682
270,550000000,BARRIOS UNIDOS,2975,10,1026022394.9523809
271,195000000,USAQUEN,5376,29,738350161.5709343
272,5500000000,USAQUEN,5376,29,738350161.5709343
273,607000000,CHAPINERO,5578,6,1242553621.6074767
274,900000000,USAQUEN,5376,29,738350161.5709343
275,420000000,USAQUEN,5376,29,738350161.5709343
276,550000000,CHAPINERO,5578,6,1242553621.6074767
277,115000000,ENGATIVA,8151,32,458086704.67836255
278,168000000,SUBA,7567,43,553298142.682
279,315000000,ENGATIVA,8151,32,458086704.67836255
280,350000000,ENGATIVA,8151,32,458086704.67836255
281,168000000,SUBA,7567,43,553298142.682
282,145000000,SUBA,7567,43,553298142.682
283,750000000,ENGATIVA,8151,32,458086704.67836255
284,175000000,ENGATIVA,8151,32,458086704.67836255
285,135000000,SUBA,7567,43,553298142.682
286,860000000,SUBA,7567,43,553298142.682
287,3200000000,SUBA,7567,43,553298142.682
288,165000000,ENGATIVA,8151,32,458086704.67836255
289,130000000,SUBA,7567,43,553298142.682
290,220000000,SUBA,7567,43,553298142.682
291,360000000,SUBA,7567,43,553298142.682
292,225000000,SUBA,7567,43,553298142.682
293,245000000,SUBA,7567,43,553298142.682
294,290000000,SUBA,7567,43,553298142.682
295,123000000,SUBA,7567,43,553298142.682
296,220000000,SUBA,7567,43,553298142.682
297,650000000,SUBA,7567,43,553298142.682
298,160000000,SUBA,7567,43,553298142.682
299,230000000,SUBA,7567,43,553298142.682
300,130000000,SUBA,7567,43,553298142.682
301,200000000,SUBA,7567,43,553298142.682
302,131000000,SUBA,7567,43,553298142.682
303,205000000,SUBA,7567,43,553298142.682
304,132000000,SUBA,7567,43,553298142.682
305,265000000,ENGATIVA,8151,32,458086704.67836255
306,550000000,SUBA,7567,43,553298142.682
307,200000000,SUBA,7567,43,553298142.682
308,260000000,USAQUEN,5376,29,738350161.5709343
309,300000000,SUBA,7567,43,553298142.682
310,350000000,SUBA,7567,43,553298142.682
311,350000000,ENGATIVA,8151,32,458086704.67836255
312,330000000,SUBA,7567,43,553298142.682
313,120000000,SUBA,7567,43,553298142.682
314,140000000,SUBA,7567,43,553298142.682
315,259000000,SUBA,7567,43,553298142.682
316,1250000000,SUBA,7567,43,553298142.682
317,190000000,SUBA,7567,43,553298142.682
318,1056062972,SUBA,7567,43,553298142.682
319,2300000000,SUBA,7567,43,553298142.682
320,1138615799,SUBA,7567,43,553298142.682
321,650000000,USAQUEN,5376,29,738350161.5709343
322,180000000,SUBA,7567,43,553298142.682
323,510000000,ENGATIVA,8151,32,458086704.67836255
324,290000000,USAQUEN,5376,29,738350161.5709343
325,320000000,SUBA,7567,43,553298142.682
326,430000000,SUBA,7567,43,553298142.682
327,610000000,SUBA,7567,43,553298142.682
328,420000000,USAQUEN,5376,29,738350161.5709343
329,180000000,SUBA,7567,43,553298142.682
330,1350000000,SUBA,7567,43,553298142.682
331,220000000,SUBA,7567,43,553298142.682
332,860000000,SUBA,7567,43,553298142.682
333,460000000,SUBA,7567,43,553298142.682
334,360000000,SUBA,7567,43,553298142.682
335,450000000,USAQUEN,5376,29,738350161.5709343
336,480000000,SUBA,7567,43,553298142.682
337,270000000,SUBA,7567,43,553298142.682
338,175000000,ENGATIVA,8151,32,458086704.67836255
339,380000000,USAQUEN,5376,29,738350161.5709343
340,1075000000,SUBA,7567,43,553298142.682
341,520000000,SUBA,7567,43,553298142.682
342,1050000000,SUBA,7567,43,553298142.682
343,138000000,SUBA,7567,43,553298142.682
344,580000000,SUBA,7567,43,553298142.682
345,310000000,SUBA,7567,43,553298142.682
346,1800000000,SUBA,7567,43,553298142.682
347,128000000,SUBA,7567,43,553298142.682
348,123000000,SUBA,7567,43,553298142.682
349,750000000,ENGATIVA,8151,32,458086704.67836255
350,180000000,ENGATIVA,8151,32,458086704.67836255
351,600000000,ENGATIVA,8151,32,458086704.67836255
352,380000000,ENGATIVA,8151,32,458086704.67836255
353,180000000,SUBA,7567,43,553298142.682
354,140000000,SUBA,7567,43,553298142.682
355,580000000,SUBA,7567,43,553298142.682
356,480000000,SUBA,7567,43,553298142.682
357,395000000,ENGATIVA,8151,32,458086704.67836255
358,350000000,SUBA,7567,43,553298142.682
359,145000000,SUBA,7567,43,553298142.682
360,320000000,USAQUEN,5376,29,738350161.5709343
361,187000000,USAQUEN,5376,29,738350161.5709343
362,650000000,SUBA,7567,43,553298142.682
363,240000000,ENGATIVA,8151,32,458086704.67836255
364,890000000,ENGATIVA,8151,32,458086704.67836255
365,700000000,SUBA,7567,43,553298142.682
366,600000000,SUBA,7567,43,553298142.682
367,950000000,SUBA,7567,43,553298142.682
368,325000000,SUBA,7567,43,553298142.682
369,450000000,SUBA,7567,43,553298142.682
370,150000000,SUBA,7567,43,553298142.682
371,145000000,SUBA,7567,43,553298142.682
372,358000000,ENGATIVA,8151,32,458086704.67836255
373,5500000000,SUBA,7567,43,553298142.682
374,710000000,SUBA,7567,43,553298142.682
375,170000000,ENGATIVA,8151,32,458086704.67836255
376,140000000,SUBA,7567,43,553298142.682
377,395000000,USAQUEN,5376,29,738350161.5709343
378,179000000,SUBA,7567,43,553298142.682
379,2500000000,SUBA,7567,43,553298142.682
380,160000000,ENGATIVA,8151,32,458086704.67836255
381,160000000,SUBA,7567,43,553298142.682
382,372000000,USAQUEN,5376,29,738350161.5709343
383,391700000,SUBA,7567,43,553298142.682
384,435000000,SUBA,7567,43,553298142.682
385,347000000,SUBA,7567,43,553298142.682
386,1500000000,USAQUEN,5376,29,738350161.5709343
387,205000000,ENGATIVA,8151,32,458086704.67836255
388,3200000000,SUBA,7567,43,553298142.682
389,600000000,SUBA,7567,43,553298142.682
390,215000000,SUBA,7567,43,553298142.682
391,1280000000,SUBA,7567,43,553298142.682
392,295000000,SUBA,7567,43,553298142.682
393,180000000,ENGATIVA,8151,32,458086704.67836255
394,160000000,ENGATIVA,8151,32,458086704.67836255
395,155000000,SUBA,7567,43,553298142.682
396,350000000,SUBA,7567,43,553298142.682
397,260000000,SUBA,7567,43,553298142.682
398,360000000,SUBA,7567,43,553298142.682
399,185000000,SUBA,7567,43,553298142.682
400,300000000,SUBA,7567,43,553298142.682
401,257990000,SUBA,7567,43,553298142.682
402,290000000,SUBA,7567,43,553298142.682
403,370000000,SUBA,7567,43,553298142.682
404,210000000,ENGATIVA,8151,32,458086704.67836255
405,358000000,SUBA,7567,43,553298142.682
406,400000000,SUBA,7567,43,553298142.682
407,250000000,SUBA,7567,43,553298142.682
